theme,start,end
Southeast_Asia,32395.0,32543.0
Brigham_Young_University,32544.0,32821.0
Intellectual_property,32822.0,32945.0
Florida,32946.0,33163.0
Queen_(band),33164.0,33355.0
Presbyterianism,33356.0,33574.0
Thuringia,33575.0,33745.0
Predation,33746.0,33959.0
British_Empire,33960.0,34171.0
Botany,34172.0,34341.0
Madonna_(entertainer),34342.0,34585.0
Law_of_the_United_States,34586.0,34818.0
Myanmar,34819.0,35056.0
Jews,35057.0,35282.0
Cotton,35283.0,35475.0
Data_compression,35476.0,35621.0
The_Sun_(United_Kingdom),35622.0,35788.0
Pesticide,35789.0,35951.0
Somerset,35952.0,36181.0
Yale_University,36182.0,36494.0
Late_Middle_Ages,36495.0,36765.0
"Ann_Arbor,_Michigan",36766.0,36962.0
Gothic_architecture,36963.0,37224.0
Cubism,37225.0,37425.0
Political_philosophy,37426.0,37611.0
Norfolk_Island,37612.0,37814.0
Edmund_Burke,37815.0,38073.0
Samoa,38074.0,38248.0
Pope_Paul_VI,38249.0,38445.0
Switzerland,38446.0,38688.0
Mali,38689.0,38839.0
"Raleigh,_North_Carolina",38840.0,39073.0
Crimean_War,39074.0,39289.0
Nonprofit_organization,39290.0,39460.0
Literature,39461.0,39724.0
Avicenna,39725.0,40044.0
Nigeria,40045.0,40224.0
Molotov%E2%80%93Ribbentrop_Pact,40225.0,40484.0
History_of_science,40485.0,40686.0
Digimon,40687.0,40830.0
Glacier,40831.0,40975.0
Affirmative_action_in_the_United_States,40976.0,41281.0
FA_Cup,41282.0,41511.0
"New_Haven,_Connecticut",41512.0,41926.0
Alsace,41927.0,42087.0
Carnival,42088.0,42279.0
Baptists,42280.0,42425.0
Child_labour,42426.0,42588.0
Dissolution_of_the_Soviet_Union,42589.0,42809.0
Crucifixion_of_Jesus,42810.0,43030.0
Supreme_court,43031.0,43165.0
Textual_criticism,43166.0,43370.0
Gramophone_record,43371.0,43655.0
Turner_Classic_Movies,43656.0,43813.0
Hindu_philosophy,43814.0,43973.0
A_cappella,43974.0,44171.0
Dominican_Order,44172.0,44448.0
Eton_College,44449.0,44697.0
Cork_(city),44698.0,44980.0
Galicia_(Spain),44981.0,45093.0
USB,45094.0,45266.0
Sichuan,45267.0,45503.0
Unicode,45504.0,45701.0
Detroit,45702.0,45925.0
London,45926.0,46180.0
Culture,46181.0,46320.0
Sahara,46321.0,46509.0
Rule_of_law,46510.0,46658.0
Exhibition_game,46659.0,46811.0
Northwestern_University,46812.0,47105.0
Strasbourg,47106.0,47322.0
History_of_India,47323.0,47594.0
Gamal_Abdel_Nasser,47595.0,47890.0
Pope_John_XXIII,47891.0,48058.0
Time,48059.0,48339.0
"St._John%27s,_Newfoundland_and_Labrador",48340.0,48497.0
John_von_Neumann,48498.0,48658.0
PlayStation_3,48659.0,49000.0
Royal_assent,49001.0,49223.0
Central_African_Republic,49224.0,49391.0
Asthma,49392.0,49551.0
LaserDisc,49552.0,49672.0
George_VI,49673.0,49808.0
Federalism,49809.0,50045.0
Annelid,50046.0,50285.0
War_on_Terror,50286.0,50537.0
Labour_Party_(UK),50538.0,50727.0
Estonia,50728.0,50932.0
Alaska,50933.0,51225.0
Mandolin,51226.0,51539.0
Insect,51540.0,51770.0
Race_(human_categorization),51771.0,51991.0
Paris,51992.0,52258.0
Apollo,52259.0,52371.0
"United_States_presidential_election,_2004",52372.0,52556.0
Liberal_Party_of_Australia,52557.0,52695.0
Samurai,52696.0,52856.0
Software_testing,52857.0,53012.0
States_of_Germany,53013.0,53203.0
Glass,53204.0,53378.0
Renewable_energy_commercialization,53379.0,53572.0
Palermo,53573.0,53705.0
Green,53706.0,53862.0
Neoclassical_architecture,53863.0,53994.0
Serbo-Croatian,53995.0,54124.0
CBC_Television,54125.0,54256.0
IBM,54257.0,54442.0
Energy,54443.0,54646.0
East_Prussia,54647.0,54797.0
Ottoman_Empire,54798.0,55013.0
Philosophy_of_space_and_time,55014.0,55155.0
Neolithic,55156.0,55305.0
Friedrich_Hayek,55306.0,55453.0
Diarrhea,55454.0,55580.0
Madrasa,55581.0,55794.0
Miami,55795.0,56101.0
Philadelphia,56102.0,56281.0
John_Kerry,56282.0,56456.0
Rajasthan,56457.0,56628.0
Guam,56629.0,56849.0
Empiricism,56850.0,57023.0
Idealism,57024.0,57222.0
Czech_language,57223.0,57408.0
Education,57409.0,57592.0
Tennessee,57593.0,57764.0
Canadian_football,57765.0,57937.0
Seven_Years%27_War,57938.0,58156.0
Cyprus,58157.0,58327.0
Steven_Spielberg,58328.0,58691.0
Elevator,58692.0,58849.0
Railway_electrification_system,58850.0,59084.0
Spanish_language_in_the_United_States,59085.0,59276.0
"Charleston,_South_Carolina",59277.0,59619.0
The_Blitz,59620.0,59913.0
Vacuum,59914.0,60115.0
Quran,60116.0,60386.0
Geography_of_the_United_States,60387.0,60529.0
Compact_disc,60530.0,60679.0
Modern_history,60680.0,61013.0
Flowering_plant,61014.0,61166.0
Hyderabad,61167.0,61345.0
"Santa_Monica,_California",61346.0,61497.0
Pain,61498.0,61698.0
Database,61699.0,61906.0
"Tucson,_Arizona",61907.0,62165.0
Bacteria,62166.0,62315.0
Printed_circuit_board,62316.0,62535.0
Greeks,62536.0,62868.0
Premier_League,62869.0,63240.0
Roman_Republic,63241.0,63514.0
Pacific_War,63515.0,63773.0
San_Diego,63774.0,64101.0
Iran,64102.0,64291.0
British_Isles,64292.0,64533.0
Association_football,64534.0,64726.0
Georgian_architecture,64727.0,64865.0
Liberia,64866.0,65010.0
Alfred_North_Whitehead,65011.0,65363.0
Antibiotics,65364.0,65573.0
Windows_8,65574.0,65874.0
Swaziland,65875.0,66046.0
Translation,66047.0,66243.0
Airport,66244.0,66398.0
Super_Nintendo_Entertainment_System,66399.0,66556.0
Sumer,66557.0,66750.0
Tuvalu,66751.0,66955.0
Namibia,66956.0,67205.0
Russian_language,67206.0,67394.0
United_States_Air_Force,67395.0,67558.0
Light-emitting_diode,67559.0,67829.0
Great_power,67830.0,67964.0
Bird,67965.0,68131.0
Qing_dynasty,68132.0,68358.0
Indigenous_peoples_of_the_Americas,68359.0,68549.0
Red,68550.0,68848.0
Mosaic,68849.0,69073.0
University,69074.0,69284.0
Religion_in_ancient_Rome,69285.0,69567.0
YouTube,69568.0,69802.0
Separation_of_church_and_state_in_the_United_States,69803.0,70074.0
Bras%C3%ADlia,70075.0,70232.0
Economy_of_Greece,70233.0,70429.0
Party_leaders_of_the_United_States_House_of_Representatives,70430.0,70611.0
Armenians,70612.0,70788.0
Jehovah%27s_Witnesses,70789.0,71093.0
Dwight_D._Eisenhower,71094.0,71399.0
The_Bronx,71400.0,71581.0
Financial_crisis_of_2007%E2%80%9308,71582.0,71860.0
Portugal,71861.0,72168.0
Humanism,72169.0,72351.0
Geological_history_of_Earth,72352.0,72515.0
Police,72516.0,72765.0
Genocide,72766.0,72963.0
Saint_Barth%C3%A9lemy,72964.0,73134.0
Tajikistan,73135.0,73353.0
University_of_Notre_Dame,73354.0,73551.0
Anthropology,73552.0,73802.0
Montana,73803.0,73911.0
"Punjab,_Pakistan",73912.0,74088.0
Infection,74089.0,74288.0
Hunting,74289.0,74663.0
Kathmandu,74664.0,74857.0
Myocardial_infarction,74858.0,74950.0
Matter,74951.0,75055.0
